ID,GioiTinh,KhuVuc,ThuNhap,FIT1,FIT2,FIT3,FIT4,CAR1,CAR2,CAR3,CAR4,REP1,REP2,REP3,REP4,COS1,COS2,COS3,COS4,SOC1,SOC2,SOC3,SOC4,COM1,COM2,COM3,COM4,LOC1,LOC2,LOC3,LOC4,DEC1,DEC2,DEC3,DEC4
54,1,0,1,4,4,4,4,4,4,5,4,4,4,3,4,3,3,3,3,4,4,4,5,4,4,5,3,5,3,4,4,4,4,4,4
55,1,0,1,4,4,4,3,4,4,5,4,3,4,5,4,5,4,4,4,4,4,4,3,2,3,3,3,4,4,3,4,4,4,4,4
56,1,0,1,4,4,4,4,4,4,4,3,4,3,4,3,3,3,3,3,3,3,2,3,4,3,3,4,4,4,5,4,3,3,3,3
57,1,0,1,5,5,4,4,5,4,4,4,5,5,4,4,5,4,4,4,5,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4
58,1,0,1,4,3,4,4,3,4,3,4,4,4,4,4,4,4,5,4,4,4,4,4,5,4,4,4,4,4,4,5,4,4,4,4
59,1,0,1,5,4,3,4,5,4,4,4,2,3,3,4,4,3,4,5,3,3,3,3,3,4,4,3,4,4,4,4,3,3,4,3
60,1,0,1,4,4,4,3,4,4,4,5,4,5,4,5,4,4,5,4,4,5,3,4,5,4,5,5,4,4,4,4,4,5,5,3
61,1,0,1,4,5,4,4,5,5,4,4,5,4,5,5,4,4,4,4,3,3,3,4,4,3,4,4,4,4,4,4,4,4,4,4
62,1,0,1,4,4,4,5,4,4,4,4,5,5,5,5,3,3,4,4,3,4,3,4,3,3,4,4,5,5,5,4,4,4,4,4
63,1,0,1,4,3,4,3,4,4,4,4,3,3,3,4,3,3,3,3,3,3,3,3,3,4,3,4,3,3,3,3,3,4,4,4
64,1,0,1,5,5,5,5,5,5,4,4,3,4,4,3,3,5,3,3,3,4,4,4,4,4,3,3,4,4,4,3,4,4,4,4
65,1,0,1,4,4,4,4,5,5,5,4,4,4,4,4,3,3,2,3,3,3,4,2,5,4,3,4,4,4,4,4,4,3,3,4
66,1,0,1,3,4,3,3,4,4,4,3,4,4,4,4,4,5,3,4,4,3,4,4,3,4,3,3,5,4,4,4,3,4,4,3
67,1,0,1,4,5,4,5,5,4,5,4,4,4,5,5,3,3,3,4,3,3,4,3,4,3,3,4,3,3,4,4,3,3,4,3
68,1,0,1,4,4,5,4,5,4,4,5,3,3,4,4,3,3,3,3,4,4,3,3,4,3,4,4,4,4,3,4,5,4,3,4
69,1,0,1,4,4,4,5,5,5,4,4,5,4,5,4,4,4,4,4,3,3,3,4,4,3,4,4,5,4,4,4,3,4,4,3
70,1,0,1,4,4,4,4,3,5,4,4,3,4,3,3,3,4,3,4,3,3,4,4,3,3,4,4,4,4,4,4,4,4,3,4
71,1,0,1,4,5,5,5,5,4,5,5,4,3,4,3,4,4,4,4,4,4,4,4,3,3,3,3,4,4,4,3,4,4,4,4
72,1,0,1,4,4,3,3,5,5,5,5,3,4,3,4,4,3,3,4,4,3,3,4,4,4,4,4,5,5,5,4,4,4,4,4
73,1,0,1,3,4,4,3,5,4,4,4,3,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,3,3,3,3,4,3,4,4
74,1,0,1,4,4,5,5,4,4,4,4,5,5,5,5,4,4,5,5,4,3,3,3,3,3,3,3,3,2,3,2,4,4,4,3
75,1,0,1,4,3,5,4,3,4,4,5,5,5,5,5,3,3,3,3,2,3,2,2,5,5,5,3,4,4,4,3,4,4,4,4
76,1,0,1,4,4,4,4,4,4,4,5,4,3,3,3,4,4,3,3,4,3,3,4,3,4,4,4,4,3,5,5,4,4,4,4
77,1,0,1,4,4,4,5,4,5,4,4,5,5,5,5,5,5,4,4,3,4,3,4,3,4,3,4,3,3,3,4,4,4,3,4
78,1,0,1,5,5,5,5,4,5,4,4,5,4,4,5,3,4,4,4,3,3,4,3,4,4,4,4,5,4,5,4,5,5,5,5
79,1,0,1,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,3,3,3,4,3,3,5,3,4,3,3,4,4,4,3
80,1,0,1,4,3,4,3,4,4,4,4,4,3,3,3,4,3,4,3,4,5,4,4,5,4,4,5,4,4,4,5,4,3,3,4
81,1,0,1,3,3,3,3,4,4,4,5,3,4,4,3,4,4,4,4,4,4,4,4,3,5,4,4,3,4,3,5,3,3,4,4
82,1,0,1,5,4,4,4,4,3,4,3,3,4,4,4,3,4,5,4,4,4,4,4,4,4,3,4,4,4,4,3,4,5,4,4
83,1,0,1,4,4,4,4,5,5,5,5,4,4,4,4,3,3,3,3,5,4,5,5,5,5,5,4,3,3,3,3,5,3,5,4
84,1,0,1,4,5,5,5,5,4,4,4,5,4,4,4,4,4,3,4,3,3,4,3,3,3,3,3,4,4,4,4,5,5,4,3
85,1,0,1,5,4,4,4,4,4,5,4,4,3,4,4,3,3,3,3,3,3,3,4,5,3,4,4,4,4,4,4,3,4,4,4
86,1,0,1,5,5,5,5,4,4,4,4,4,5,5,4,4,4,4,4,3,3,3,3,3,3,4,3,3,3,2,3,4,5,4,4
87,1,0,1,3,4,3,3,4,4,4,4,3,3,4,3,4,5,5,4,3,4,4,4,4,5,4,4,3,3,3,3,4,3,3,3
88,1,0,1,4,4,4,4,4,4,4,4,5,4,4,4,3,4,3,3,2,2,3,4,4,4,4,3,4,4,4,4,4,4,3,4
89,1,0,1,4,5,3,4,5,5,5,5,4,4,5,4,4,4,4,4,3,3,2,2,3,4,4,4,4,4,2,4,3,4,3,4
90,1,0,1,4,4,3,3,4,5,4,4,4,4,4,4,4,4,4,4,5,4,5,4,3,3,3,4,5,4,5,4,3,3,3,4
91,1,0,1,4,4,3,4,3,3,3,3,4,4,4,5,4,4,3,3,4,4,3,4,3,3,3,4,3,4,3,4,4,4,3,4
92,1,0,1,4,4,4,4,5,5,5,5,4,3,5,4,3,4,3,3,3,4,4,4,4,4,4,3,4,3,3,3,4,4,5,5
93,1,0,1,4,4,4,4,5,5,5,4,4,4,4,4,4,3,3,4,3,4,4,3,3,3,3,3,4,4,4,4,4,4,5,4
94,1,0,1,5,3,4,4,4,4,4,4,4,4,4,5,2,3,3,2,4,3,4,3,5,4,5,5,4,4,4,4,4,4,4,3
95,1,0,1,4,4,5,3,5,4,4,4,4,4,4,3,4,3,4,3,4,4,3,4,5,4,4,4,3,3,3,4,4,4,3,4
96,1,0,1,5,4,4,4,4,4,4,5,5,4,4,5,3,4,4,4,3,3,3,3,3,3,2,2,3,4,3,4,5,5,4,5
97,1,0,1,4,3,3,4,5,5,5,5,3,3,3,3,3,4,3,3,3,4,4,4,4,4,4,4,3,3,3,4,4,3,4,4
98,1,0,1,5,5,4,5,4,4,5,5,5,5,5,5,3,4,3,4,5,4,4,4,4,4,4,4,4,3,4,5,3,4,3,4
99,1,0,1,5,4,5,5,5,5,5,4,4,4,4,4,3,4,3,4,4,4,4,4,4,5,4,4,4,4,3,3,5,4,4,5
100,1,0,1,4,4,4,4,4,5,4,5,4,3,4,4,3,3,4,2,3,3,3,4,4,4,4,4,4,3,4,3,4,5,4,4
101,1,0,1,5,5,4,5,3,3,3,4,4,4,4,5,3,3,4,4,3,2,3,3,5,5,5,5,4,4,4,4,3,3,4,4
102,1,0,1,3,3,3,5,4,4,4,4,5,5,4,5,4,4,4,5,3,2,2,3,3,3,3,3,5,4,4,5,4,4,5,5
103,1,0,1,5,4,4,5,3,3,4,4,4,4,4,4,4,4,4,3,5,5,4,5,4,4,5,4,5,5,5,4,4,5,5,4
104,1,0,1,4,4,4,4,5,5,5,5,5,3,4,3,3,4,5,4,4,4,4,3,4,3,2,3,4,3,3,3,4,3,4,3
105,1,0,1,5,4,4,5,3,4,3,4,4,3,2,3,3,4,4,3,4,3,3,3,4,4,5,5,3,3,2,4,4,3,4,3
106,1,0,1,5,4,4,4,4,4,4,3,3,3,3,4,4,4,4,4,5,4,4,4,3,3,4,4,3,4,3,3,4,4,4,4
107,1,0,1,3,4,3,4,4,4,5,4,4,5,4,3,5,4,4,4,4,3,3,4,4,5,4,5,4,4,4,4,3,4,4,4
108,1,0,1,4,5,5,5,5,4,5,3,3,3,3,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,5,5,5,4,5
109,1,0,1,4,3,3,3,4,4,4,4,5,5,5,5,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4
110,1,0,1,4,4,4,5,4,4,3,3,4,4,4,4,4,5,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4
111,1,0,1,4,4,3,4,4,4,4,5,4,4,4,4,4,3,4,5,3,3,3,3,4,4,4,4,5,4,4,5,4,4,5,3
112,1,0,1,4,4,5,4,4,5,5,4,4,4,4,4,4,3,3,4,3,3,2,4,4,4,3,4,3,3,4,4,4,4,3,4
113,1,0,1,4,4,4,4,4,5,5,4,5,5,5,5,3,4,3,4,3,4,4,4,3,2,2,3,4,5,4,4,4,4,4,4
114,1,0,1,5,5,5,4,5,5,4,4,4,4,4,4,4,4,4,3,3,3,4,3,5,3,4,4,3,3,4,4,5,5,5,4
115,1,0,1,4,4,4,3,5,4,5,4,5,5,5,5,4,4,3,4,4,4,4,3,4,4,5,4,5,5,5,5,4,4,4,4
116,1,0,1,4,4,4,4,4,5,5,5,4,3,4,4,2,2,4,3,5,4,3,2,3,3,4,4,2,3,3,4,3,3,4,3
117,1,0,1,4,4,4,4,5,4,4,5,3,4,3,4,4,3,4,3,3,3,4,4,3,3,4,4,3,3,3,4,3,4,3,4
118,1,0,1,5,5,5,5,4,3,4,4,5,4,5,4,5,4,5,5,4,4,3,4,3,4,4,5,4,3,3,4,5,4,5,4
119,1,0,1,4,4,3,4,4,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,3,3,3,2,4,4,4,3,4,4,4,4
120,1,0,1,4,4,4,4,5,4,4,4,4,3,3,4,3,3,4,4,4,4,4,4,2,2,3,2,3,4,4,3,4,3,3,3
121,1,0,1,3,4,4,4,4,4,4,4,5,5,5,5,3,4,4,5,3,3,3,3,3,3,4,3,3,3,3,3,4,4,4,4
122,1,0,1,4,4,4,4,3,4,4,5,3,5,4,4,4,4,4,4,3,4,3,4,4,5,5,4,4,3,4,4,4,4,4,4
123,1,0,1,3,4,3,4,4,4,4,4,3,3,3,3,4,4,4,4,4,4,3,4,3,3,3,3,4,4,4,4,4,4,4,4
124,1,0,1,4,4,4,4,4,5,5,4,4,5,4,4,4,4,4,3,3,3,4,4,4,4,3,3,4,3,5,5,4,4,4,4
125,1,0,1,4,3,3,3,5,5,4,4,3,4,4,3,4,3,4,4,5,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4
126,1,0,1,4,4,5,4,4,4,3,3,3,3,3,4,4,3,3,3,4,4,4,4,4,4,4,3,5,4,4,3,4,4,4,4
127,1,0,1,4,5,4,4,4,3,3,4,4,4,4,4,5,5,4,4,3,3,4,4,3,4,4,3,4,5,4,4,5,5,4,5
128,1,0,1,4,4,4,4,5,5,4,5,3,3,4,3,5,4,4,4,3,3,2,3,3,3,4,3,3,3,4,3,4,4,3,4
129,1,0,1,5,4,5,5,5,4,5,5,4,4,4,3,4,4,4,3,4,5,4,4,4,2,3,3,3,4,4,4,4,5,4,5
130,1,0,1,5,5,5,5,5,4,4,4,3,3,3,2,4,4,3,3,3,4,4,4,4,4,4,4,3,3,4,3,4,5,4,5
131,1,0,1,3,5,3,3,4,4,3,4,3,3,3,4,4,4,3,3,4,4,4,4,5,4,5,4,3,4,4,4,5,4,3,4
132,1,0,1,3,3,4,4,4,5,4,5,5,4,5,4,4,4,4,4,3,4,4,4,5,4,5,5,4,4,4,4,4,4,4,4
133,1,0,1,4,4,4,4,3,3,3,3,5,4,4,4,5,4,4,3,4,4,4,4,5,4,3,4,3,4,4,5,3,3,3,3
134,1,0,1,5,5,5,5,5,4,5,5,5,5,5,4,4,4,4,4,3,3,3,4,3,3,3,3,4,4,4,4,4,4,4,4
135,1,0,1,4,5,5,4,5,5,5,4,3,4,5,4,4,4,4,4,4,3,3,4,2,4,4,3,4,4,5,4,5,5,4,5
136,1,0,1,5,5,4,5,4,3,5,4,3,4,4,4,4,4,4,4,4,3,3,3,3,3,4,2,4,4,4,4,4,4,4,5
137,1,0,1,5,4,4,5,4,4,4,3,5,3,4,3,4,3,3,3,3,3,3,3,4,5,4,4,4,4,4,4,3,4,3,4
138,1,0,1,4,4,4,3,5,4,4,4,5,4,5,5,5,4,4,5,3,3,4,4,3,4,3,2,4,4,5,4,4,5,5,5
139,1,0,1,4,3,4,4,4,4,4,3,5,5,4,4,3,5,3,3,5,5,4,4,4,3,3,3,4,4,5,5,4,4,4,5
140,1,0,1,5,5,5,5,4,4,4,4,5,5,5,4,4,4,3,3,4,3,4,4,5,4,4,4,4,3,4,3,4,4,4,4
141,1,0,1,3,3,3,3,5,5,5,5,4,4,4,5,3,3,3,4,4,4,3,4,3,4,3,4,4,3,4,3,3,3,3,3
142,1,0,1,4,3,4,3,4,3,4,4,3,3,3,3,3,3,3,4,4,4,4,3,3,4,4,4,3,4,4,4,4,4,3,4
143,1,0,1,4,4,3,4,4,5,4,5,3,4,4,5,3,3,3,4,3,3,4,4,4,4,3,4,3,2,3,2,3,3,4,3
144,1,0,1,4,4,5,4,4,4,5,4,3,3,3,3,4,4,5,4,4,5,4,4,3,4,3,3,5,5,5,5,4,4,3,4
145,1,0,1,4,3,4,3,4,5,4,4,3,4,3,3,3,4,4,3,4,4,4,4,3,4,4,3,2,3,2,2,4,2,3,3
146,1,0,1,4,5,4,4,3,4,3,3,5,4,4,5,4,3,3,4,4,3,4,5,3,3,3,4,4,3,4,4,5,4,4,4
147,1,0,1,5,4,4,5,5,5,4,4,5,4,5,5,3,4,4,5,4,3,3,5,3,3,3,3,4,4,4,4,5,5,5,4
148,1,0,1,3,4,4,3,5,5,5,5,4,3,4,3,4,4,4,4,4,3,4,3,5,4,4,4,5,4,4,4,4,4,4,4
149,1,0,1,3,4,3,4,5,5,5,5,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,5,3,3,3,3,4,4,4,4
150,1,0,1,3,3,4,4,4,3,4,4,4,4,3,4,4,4,4,4,3,4,4,4,5,5,5,5,4,4,4,4,4,5,4,4
151,1,0,1,3,3,3,3,3,3,3,3,4,5,4,4,3,3,3,3,4,4,4,4,5,4,5,5,4,4,3,4,3,3,3,4
152,1,0,1,4,4,3,5,4,4,3,3,4,4,4,4,4,4,5,4,3,3,4,3,4,3,4,4,4,4,4,4,3,4,3,3
153,1,0,1,4,4,5,5,4,3,3,3,5,3,4,4,3,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4
154,1,0,1,3,4,3,4,4,3,4,3,5,5,5,5,1,2,2,2,4,4,5,5,4,4,4,4,3,5,3,4,4,4,4,4
155,1,0,1,5,5,5,4,4,3,4,4,4,4,4,4,3,4,5,4,4,3,4,4,4,4,4,5,4,3,3,3,4,4,4,4
156,1,0,1,4,4,5,4,3,4,3,4,4,4,4,4,4,4,3,3,3,3,3,4,4,4,3,3,4,4,4,3,4,4,4,4
157,1,0,1,4,5,4,4,3,3,4,4,5,5,4,4,3,4,4,4,3,4,3,4,5,5,5,5,4,4,3,4,5,4,4,4
158,1,0,1,3,3,3,3,5,4,4,4,4,5,5,4,4,3,4,4,3,5,5,5,4,4,5,5,3,3,3,3,4,5,4,5
159,1,0,1,5,3,4,4,3,4,3,4,3,4,4,2,3,3,3,4,4,5,4,5,4,3,4,3,4,4,3,4,5,4,4,4
160,1,0,1,5,4,5,5,5,4,5,4,3,5,4,5,3,3,3,3,4,3,4,3,4,3,3,4,3,2,3,3,4,4,5,4
161,1,0,1,4,4,3,4,4,5,5,5,3,3,4,3,4,4,3,4,3,4,4,3,4,4,4,4,4,3,3,4,4,3,4,4
162,1,0,1,4,4,5,4,4,4,4,4,3,4,3,4,4,4,4,4,3,4,4,3,4,4,3,3,3,3,4,3,4,4,4,4
163,1,0,1,4,3,4,3,4,4,5,5,5,5,5,5,4,4,4,3,4,4,3,5,3,4,3,3,4,4,4,4,5,4,4,4
164,1,0,1,5,5,5,5,5,5,5,5,3,4,3,4,3,4,3,3,5,4,4,4,5,3,4,4,4,3,4,4,4,4,4,4
165,1,0,1,4,4,5,4,5,4,4,5,4,2,3,3,3,3,3,3,3,3,3,4,3,4,3,4,3,3,3,3,4,4,4,4
166,1,0,1,4,4,4,4,4,4,4,4,4,3,4,3,5,5,5,4,4,3,3,3,3,4,3,3,4,4,4,4,3,4,4,4
167,1,0,1,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,5,4,4,3,5,4,4,4,3,3,3,3,4,4,4,4
168,1,0,1,4,4,4,4,5,5,4,4,5,5,4,4,4,4,4,4,4,4,4,5,4,4,4,4,3,3,4,4,5,4,5,4
169,1,0,1,4,4,5,5,4,5,4,4,4,3,4,4,5,5,4,4,5,5,5,5,4,4,4,4,3,3,3,4,5,5,4,5
170,1,0,1,3,4,4,3,3,4,4,5,4,5,5,5,4,3,4,4,4,4,4,3,4,4,5,3,5,5,4,3,4,4,4,4
171,1,0,1,3,3,2,3,5,4,4,5,4,4,4,5,2,3,4,3,4,4,3,3,3,4,3,4,3,3,3,3,4,4,4,4
172,1,0,1,4,4,4,4,4,4,4,4,4,5,4,5,3,4,4,4,4,3,4,4,4,3,3,3,3,3,4,3,3,4,4,3
173,1,0,1,5,5,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,3,3,4,4,4,4,4,4,4,5,4,4,3,3,4
174,1,0,1,5,4,3,3,4,4,3,4,5,4,4,3,4,4,4,3,5,5,4,5,4,3,4,4,4,3,4,4,4,4,4,4
175,1,0,1,5,4,4,5,5,5,4,4,4,4,4,4,3,4,5,4,4,4,3,4,3,3,3,4,3,4,4,3,5,4,4,4
176,1,0,1,3,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,3,3,3,3,3,3,3,2,3,3,4,4,4,3,3
177,1,0,1,5,5,5,5,3,3,4,3,5,5,5,4,4,4,4,3,5,4,4,4,4,4,4,4,3,4,4,3,5,4,4,5
178,1,0,1,4,4,4,3,4,5,4,5,5,4,5,5,3,4,3,3,4,3,3,4,4,3,2,3,3,4,4,4,4,3,3,3
179,1,0,1,4,5,5,4,5,5,4,5,3,3,3,3,4,4,4,3,3,2,4,4,4,4,4,3,5,5,5,5,5,5,5,5
180,1,0,1,4,2,3,4,4,4,4,5,4,4,4,4,4,3,4,4,3,3,3,4,4,3,4,3,2,3,3,4,4,3,5,5
181,1,0,1,4,3,5,4,3,4,4,3,3,3,5,4,4,4,3,4,4,4,4,5,3,3,3,3,5,5,5,5,4,4,4,4
182,1,0,1,3,4,3,3,5,4,4,5,3,4,4,4,3,3,3,3,4,4,4,3,5,4,4,4,4,5,4,4,4,3,4,5
183,1,0,1,5,5,5,4,4,4,5,4,4,4,4,4,4,3,3,4,4,4,4,5,5,4,5,4,5,4,4,4,4,5,4,5
184,1,0,1,4,4,4,4,4,5,4,4,4,4,4,4,4,5,4,5,4,4,3,4,4,4,4,3,3,3,3,4,3,4,3,5
185,1,0,1,4,3,3,4,4,5,4,5,4,4,3,4,4,3,4,4,4,3,3,5,4,4,4,3,4,3,4,4,4,4,4,4
186,1,0,1,4,4,3,4,4,4,4,4,3,2,3,4,3,2,4,3,3,4,4,4,4,4,4,4,3,4,4,3,4,3,3,4
187,1,0,1,4,3,4,4,4,4,4,4,3,2,3,3,3,3,3,4,4,4,4,4,4,3,4,4,4,3,4,3,4,3,4,4
188,1,0,1,3,4,3,4,4,3,5,3,4,3,3,3,5,5,4,4,4,4,2,3,4,4,3,4,3,4,3,3,4,4,3,3
189,1,0,1,4,4,3,4,4,5,5,5,3,3,3,3,4,4,4,4,4,5,3,4,4,3,3,3,4,4,3,4,3,3,4,4
